item_id,tag,quality
28006828905412728,beauty,3
28006828905412728,beautiful,3
28006828905412728,tomorrow,1
28006828905412728,inspiration,3
28006828905412728,bullshit,1
28006828905412728,you,1
28006828905412728,quote,3
28006828905412728,eating disorder,3
28006828905412728,recover,3
28006828905412728,fight,1
28006828905412728,don't,1
28006828905412728,inside,1
28006828905412728,recovery,2
28006828905412728,comeback,1
28006828905412728,positive,3
28006828905412728,saying,2
28006828905412728,rehabilitation,3
28006828905412728,bullshit tags,1
28006828905412728,rehab,3
28006828905412728,eating disorder recovery quote,4
28006828905412728,note,2
28006828905412728,convince,2
28006828905412728,worth,2
28006828905412728,affirmations,4
28006828905412728,beauty quote,3
32651166018894160,eye candy fashion,3
32651166018894160,jewlery,1
32651166018894160,gems,2
32651166018894160,too hard,0
32651166018894160,earrings,1
32651166018894160,toohard,0
32651166018894160,jewelry,3
32651166018894160,pink and gray ring,3
32651166018894160,rings,3
32651166018894160,cream89,1
32651166018894160,rings in hand,3
32651166018894160,plastic,2
32651166018894160,sparkle,2
32651166018894160,gold jewelry,2
32651166018894160,eye candy,2
36802921924435008,kids character cake,3
36802921924435008,nintendo cake,4
36802921924435008,mari,1
36802921924435008,two tier video game cake,4
36802921924435008,mario cake,4
36802921924435008,mario bros,3
36802921924435008,sugar,1
36802921924435008,luigi,2
36802921924435008,super mario brothers,2
36802921924435008,cake,2
36802921924435008,birthday,3
36802921924435008,cake decoration,2
36802921924435008,happy,1
36802921924435008,colorful,1
36802921924435008,birthday cake for child,4
36802921924435008,mario brothers cake,4
36802921924435008,mushroom cake,4
36802921924435008,mario bros cake,4
36802921924435008,super mario cake,4
36802921924435008,mario,2
36802921924435008,mushroom,2
40039884157181872,pretty marsh,2
40039884157181872,hunter romance,4
40039884157181872,swamp,4
40039884157181872,marriage,3
40039884157181872,kissing in field,3
40039884157181872,couple,2
40039884157181872,soldiers,2
40039884157181872,wedding,3
40039884157181872,kissing,4
40039884157181872,couple kissing,4
40039884157181872,camoflouge couple,4
40039884157181872,wedding photo,3
40039884157181872,kiss outdoors,3
40039884157181872,camouflage wedding,4
40039884157181872,nature,2
40039884157181872,beautiful scene,2
40039884157181872,engaged,2
40039884157181872,kiss in field,4
40039884157181872,love,1
42573158949928880,baby girl,2
42573158949928880,poster of cake,2
42573158949928880,cake decoration,4
42573158949928880,cute,2
42573158949928880,cake-stand,2
42573158949928880,seaside cake,4
42573158949928880,two-tier cake,3
42573158949928880,cake,2
42573158949928880,amelia cake,4
42573158949928880,beach decoration,4
42573158949928880,beach seaside cake,4
42573158949928880,birthday,2
42573158949928880,amelia,2
42573158949928880,beach cake,4
42573158949928880,female,1
42573158949928880,pastel cake,3
46161964904498648,grammies,3
46161964904498648,selbrity,1
46161964904498648,grammy fashion,4
46161964904498648,kesha,4
46161964904498648,hot blonde celebrity,2
46161964904498648,spears,1
46161964904498648,brittany spears grammys,1
46161964904498648,award show,2
46161964904498648,fashion,2
46161964904498648,brittany at the grammys,1
46161964904498648,brittney,1
46161964904498648,grammy awards,4
46161964904498648,awards,2
46161964904498648,grammy awards fashion,3
46161964904498648,grammy awards red carpet,3
46161964904498648,kesha on red carpet,4
46161964904498648,red carpet dress,4
46161964904498648,red carpet,3
46161964904498648,gold dress,3
46161964904498648,kesha grammy outfit,4
46232333648991680,yellow shoes,3
46232333648991680,high heels,3
46232333648991680,woman barefoot,3
46232333648991680,pumps,3
46232333648991680,yellow,2
46232333648991680,foot,2
46232333648991680,heels,3
46232333648991680,shoes,2
46232333648991680,one bare foot,3
46232333648991680,yellow heel,4
46232333648991680,shoe,2
46232333648991680,yellow high heels,4
46232333648991680,fashion,3
46232333648991680,yellow high heel shoe,4
46232333648991680,feet,2
46232333648991680,what shoes to wear on a night out,2
53409945551509408,peas,2
53409945551509408,potpie,4
53409945551509408,dinner pie,4
53409945551509408,eat,1
53409945551509408,mince pie,3
53409945551509408,pot pie,4
53409945551509408,dinner ideas,2
53409945551509408,chicken pot pie,3
53409945551509408,dinner,1
53409945551509408,vegitable dinner pie,1
53409945551509408,pretty dinner,2
53409945551509408,mince pie recipe,2
53409945551509408,carrots,2
53409945551509408,pot pie closeup,4
53409945551509408,pie,3
53409945551509408,food,2
55872851597347472,hipster,2
55872851597347472,celebrity photo,2
55872851597347472,celebrities,2
55872851597347472,sport coat,1
55872851597347472,stylish celebrities,3
55872851597347472,beige hat,3
55872851597347472,pharrel,4
55872851597347472,cuban man,4
55872851597347472,pharell,2
55872851597347472,pharell wearing hat,4
55872851597347472,pharrell,4
55872851597347472,musician,3
55872851597347472,happy,2
55872851597347472,african american,2
55872851597347472,dj,3
55872851597347472,cute hat,3
55872851597347472,man wearing hat,3
55872851597347472,focused foreground,1
55872851597347472,celebrity,3
55872851597347472,latino man,2
55872851597347472,sexy,2
55872851597347472,cubano man,2
55872851597347472,pharell williams,4
55872851597347472,hat,2
55872851597347472,man,1
59180182578356360,nature,2
59180182578356360,betula pendula,4
59180182578356360,beech tree,4
59180182578356360,tree identification,3
59180182578356360,trees diagram,4
59180182578356360,appearance of trees,3
59180182578356360,identification,2
59180182578356360,drawing,2
59180182578356360,chart,1
59180182578356360,landscape design,2
59180182578356360,trees and their seeds,1
59180182578356360,tree,2
59180182578356360,types of trees,4
59180182578356360,cad,1
59180182578356360,leafs,3
59180182578356360,different types of trees,3
59180182578356360,illustration,2
59180182578356360,tree diagram,4
59180182578356360,top view,3
59180182578356360,wood,2
59180182578356360,trees,3
59532026295589976,monkey,3
59532026295589976,art,2
59532026295589976,childs drawing,3
59532026295589976,drawing with labels,4
59532026295589976,label,3
59532026295589976,children,2
59532026295589976,drwaing,1
59532026295589976,crayons,2
59532026295589976,child's drawing,4
59532026295589976,labing,1
59532026295589976,kids drawing,4
59532026295589976,labeling,3
59532026295589976,childs artwork,4
59532026295589976,labelling,3
59532026295589976,learning exercise,3
59532026295589976,labeling paper,1
59532026295589976,learning,3
59532026295589976,drawing,2
59532026295589976,children's illustration,4
64950419599830872,yellow,2
64950419599830872,victorian jewelry,4
64950419599830872,gold jewelry,4
64950419599830872,flower necklace,4
64950419599830872,jewelry,2
64950419599830872,gold,2
64950419599830872,pearl necklace with pendant,4
64950419599830872,pearl necklace,3
64950419599830872,antique gold necklace,4
64950419599830872,necklace,2
64950419599830872,dangling necklace,4
64950419599830872,flower pearl necklace,4
64950419599830872,gold choker,2
64950419599830872,antique necklace,4
64950419599830872,pearl,3
64950419599830872,gold necklace,4
70157706665653280,pink,1
70157706665653280,newborn,2
70157706665653280,fatherhood,4
70157706665653280,parenthood,4
70157706665653280,father with baby,4
70157706665653280,father holding baby,4
70157706665653280,kissing child,3
70157706665653280,kiss,2
70157706665653280,baby in pink,2
70157706665653280,child,2
70157706665653280,hug,3
70157706665653280,dad,4
70157706665653280,parent,4
70157706665653280,infancy,3
70157706665653280,father,4
70157706665653280,infant,4
70157706665653280,father loving baby,4
70157706665653280,love,2
70157706665653280,parent hugging child,4
70157706665653280,father and baby,4
70157706665653280,baby,1
70157706665653280,father and daughter,4
71283606575581072,fancy house,3
71283606575581072,tropical rental house,3
71283606575581072,fence,2
71283606575581072,suberb,1
71283606575581072,island rental house,3
71283606575581072,sunny,1
71283606575581072,picket fence,4
71283606575581072,white fence,3
71283606575581072,southern home,2
71283606575581072,white,1
71283606575581072,house,2
71283606575581072,big house,4
71283606575581072,tropical house,4
71283606575581072,island house,3
71283606575581072,palm trees,2
71283606575581072,plantation home,2
84161086761367824,lamp,1
84161086761367824,heart,2
84161086761367824,pink,1
84161086761367824,alice in wonderland,3
84161086761367824,queen of hearts party theme,4
84161086761367824,red queen party theme,4
84161086761367824,red queen party items,4
84161086761367824,decoration,2
84161086761367824,clock,3
84161086761367824,candles,2
84161086761367824,decorations,2
84161086761367824,queen of hearts party items,4
84161086761367824,table decor,3
84161086761367824,baby shower,2
84161086761367824,clocks,2
84161086761367824,red heart card party,4
84161086761367824,red,2
84161086761367824,party decorations,3
84161086761367824,theme,2
84161086761367824,chess,2
84161086761367824,decor,2
84161086761367824,party,2
86483255315466656,girl,1
86483255315466656,art with long hair,3
86483255315466656,palacios,3
86483255315466656,watercolor illustration,4
86483255315466656,painting of woman with black hair,3
86483255315466656,art,1
86483255315466656,watercolor,2
86483255315466656,long flowing hair,3
86483255315466656,watercolor woman,4
86483255315466656,illustration of young woman with long brown hair,3
86483255315466656,artistic,2
86483255315466656,painting of woman,4
86483255315466656,painting,2
86483255315466656,woman painting,2
86483255315466656,palacios art,3
86483255315466656,mercedes palacios,3
86483255315466656,long hair,3
86483255315466656,drawing of young woman,4
86483255315466656,illustration,2
86483255315466656,woman,2
86483255315466656,woman with long hair,3
91057223690183456,clothing store,3
91057223690183456,fashion,3
91057223690183456,women's,1
91057223690183456,shorts,1
91057223690183456,figures,2
91057223690183456,skirts,2
91057223690183456,zara johannesburg,3
91057223690183456,shirts,2
91057223690183456,clothing,3
91057223690183456,boutique,3
91057223690183456,purse,1
91057223690183456,shop,2
91057223690183456,shopping,3
91057223690183456,zara in johannesburg,4
91057223690183456,pants,2
91057223690183456,mannequin,4
91057223690183456,store,2
91057223690183456,mannequins in beige,3
91057223690183456,department store,2
91057223690183456,mannequins,4
